Age (Ma),average d15N,Age (Ma),average d15N
0.86,3.77,0.17,9.73
1.17,3.38,0.33,8.68
1.47,3.72,0.54,9.85
1.76,3.63,0.83,10.45
2.22,3.33,1.32,11.12
2.73,3.69,1.79,11.08
2.76,3.76,2.21,11.75
3.12,3.65,2.38,12.08
3.25,3.11,2.57,12.27
3.42,3.62,2.76,12.83
3.66,4.31,2.94,11.78
3.88,3.71,3.13,13.41
3.95,3.92,3.46,13.10
4.03,4.31,3.52,12.93
4.11,3.78,3.58,14.30
4.58,3.74,3.65,14.48
4.67,3.54,4.15,13.34
4.80,3.62,4.52,13.59
4.85,4.23,4.99,13.50
4.88,4.04,5.68,12.19
4.93,3.49,5.81,12.36
5.00,3.82,5.98,12.86
5.25,2.94,6.17,12.02
5.37,3.01,6.37,12.62
5.49,2.92,6.56,11.86
5.62,2.61,9.11,11.23
5.74,4.34,9.39,9.55
5.86,3.44,9.77,8.14
5.99,3.46,10.07,8.33
6.11,3.54,10.34,7.87
6.56,3.60,10.60,8.15
7.45,3.62,11.25,7.64
7.57,3.93,11.34,7.18
7.62,3.47,11.48,7.24
7.69,3.93,11.61,7.62
7.81,3.58,11.75,7.84
7.87,3.84,11.89,8.03
8.07,3.90,12.26,10.01
8.17,3.51,12.37,7.41
8.29,3.73,12.51,7.04
8.40,3.39,12.65,7.34
8.53,3.08,12.75,8.72
8.65,3.55,12.79,8.71
8.77,4.11,12.89,9.34
8.89,3.41,12.96,9.77
9.01,4.05,13.20,9.70
9.11,3.96,13.24,9.16
9.23,3.62,13.27,7.85
9.35,5.02,13.31,8.60
9.47,3.95,13.36,7.15
9.55,3.82,13.41,7.25
9.73,3.50,13.47,8.00
9.85,3.51,13.52,8.02
9.98,3.95,13.58,7.21
10.22,4.76,13.64,5.72
10.34,4.87,13.70,5.12
10.46,4.97,13.76,5.05
11.18,5.09,13.78,5.08
11.30,4.89,13.88,5.64
11.42,4.70,13.92,5.82
11.54,5.06,14.01,5.06
11.66,4.64,14.05,5.30
11.78,3.95,14.14,4.55
11.91,4.81,14.19,4.92
12.03,4.24,14.32,4.89
12.14,4.60,14.39,4.86
12.63,4.10,14.44,5.14
12.75,3.56,14.51,5.86
12.87,2.80,14.58,5.66
12.99,3.19,14.65,5.90
13.11,3.20,14.94,5.20
13.23,2.98,15.00,5.29
13.35,3.14,15.12,6.54
13.46,2.64,15.18,5.52
13.50,2.89,15.33,5.55
14.94,5.12,15.43,6.64
14.97,5.48,15.65,10.06
15.03,5.41,15.78,5.50
15.07,4.87,15.87,5.56
15.62,5.16,16.01,5.06
15.64,5.45,16.11,5.05
15.67,5.40,16.24,5.56
15.78,5.42,16.49,5.04
16.00,4.04,16.67,5.34
16.29,3.53,16.83,5.38
16.62,4.09,17.00,5.08
16.63,5.21,17.19,5.06
16.68,6.22,17.36,5.58
16.69,5.45,17.56,5.51
16.80,4.84,17.73,6.25
16.92,4.51,17.92,6.90
17.01,4.68,18.09,6.27
17.11,5.41,18.26,6.06
17.19,6.29,18.43,6.72
17.22,6.88,19.10,9.67
17.32,6.95,19.26,13.78
17.38,6.47,19.82,11.24
17.42,7.16,19.87,14.37
17.57,6.43,20.08,14.86
17.62,7.14,20.31,15.53
18.02,8.08,20.56,14.39
18.20,9.26,20.84,13.59
18.38,6.34,21.10,14.81
18.50,6.91,21.55,13.06
18.58,8.00,21.95,13.74
18.77,7.43,22.22,13.65
18.85,7.45,22.43,13.68
18.94,7.71,22.47,13.88
19.11,8.18,22.49,14.80
19.33,8.18,22.52,14.77
19.51,7.78,40.18,4.32
19.76,8.73,40.43,4.49
19.89,7.70,40.48,4.17
20.13,8.42,40.53,5.48
20.52,7.38,40.57,5.32
20.99,6.49,40.67,4.25
21.04,6.63,40.69,2.83
21.38,8.16,43.49,2.84
22.07,8.29,44.27,2.60
22.68,8.31,45.29,2.46
22.92,8.65,45.93,2.49
23.10,9.30,46.54,2.28
23.28,8.94,47.23,2.88
23.38,9.47,47.95,2.61
23.58,9.40,48.59,1.94
23.78,9.47,49.09,2.84
23.91,9.38,49.87,2.73
24.26,9.64,50.36,2.05
24.51,11.56,50.34,
24.91,9.82,50.40,
25.12,9.75,51.57,2.47
25.23,9.56,52.23,4.03
25.36,8.88,52.47,4.32
25.67,7.71,52.63,5.09
26.10,8.35,52.82,4.46
26.35,9.66,53.27,7.12
26.67,8.11,53.64,6.65
26.81,8.67,54.03,7.31
28.81,6.81,54.65,8.44
29.53,9.10,55.35,9.32
29.92,5.53,55.76,11.74
29.95,7.07,56.04,12.94
30.31,8.34,56.88,14.84
30.37,7.42,57.41,14.84
30.61,6.98,57.31,
30.80,8.64,57.42,
30.91,6.93,57.89,14.51
31.07,6.87,58.60,13.32
31.37,7.93,59.54,14.80
31.62,8.51,60.29,14.25
31.80,7.87,61.48,15.38
31.82,8.04,62.09,16.98
32.18,6.63,63.04,17.23
32.50,7.99,64.39,18.24
32.52,8.50,65.45,14.95
32.99,6.39,66.84,14.42
33.22,8.48,68.91,8.58
33.29,8.62,69.33,14.75
33.31,7.36,69.51,10.10
33.76,7.19,69.81,14.32
34.40,5.14,,
34.50,5.54,,
34.65,5.07,,
34.91,5.11,,
34.99,3.17,,
35.50,3.81,,
35.74,3.93,,
36.28,3.42,,
36.50,4.34,,
36.91,4.99,,
37.27,4.09,,
37.34,4.22,,
37.49,4.13,,
38.00,4.48,,
38.24,4.02,,
38.74,4.46,,
39.31,3.80,,
39.65,2.17,,
39.77,4.23,,
39.92,4.63,,
39.96,3.34,,
40.18,3.03,,
40.35,4.61,,
40.35,3.57,,
40.55,3.24,,
40.60,4.57,,
40.68,2.74,,
40.80,3.49,,
40.86,3.98,,
41.01,4.65,,
41.14,3.42,,
41.21,4.97,,
41.41,3.98,,
41.42,6.19,,
41.80,3.41,,
42.05,2.58,,
42.26,2.61,,
42.34,2.99,,
42.50,1.91,,
42.83,3.10,,
43.05,2.21,,
43.41,4.02,,
43.49,3.15,,
43.75,3.31,,
44.02,3.04,,
44.21,3.17,,
44.31,3.96,,
44.35,2.50,,
44.53,2.86,,
44.57,4.05,,
44.71,4.65,,
44.89,4.28,,
45.07,3.20,,
45.13,2.40,,
45.41,4.94,,
45.43,4.76,,
45.60,4.18,,
45.64,3.19,,
45.86,4.84,,
45.90,3.76,,
46.77,4.80,,
47.69,4.97,,
47.70,,,
47.80,,,
47.98,4.79,,
48.45,4.74,,
48.83,4.31,,
49.48,3.79,,
50.42,4.96,,
51.16,4.89,,
51.54,5.66,,
52.27,8.84,,
52.97,9.72,,
54.13,10.17,,
54.17,,,
54.29,,,
54.91,9.82,,
55.12,8.62,,
55.34,10.45,,
55.73,9.23,,
56.12,10.96,,
56.86,12.21,,
57.40,11.47,,
57.49,11.35,,
57.73,11.86,,
57.73,11.59,,
57.87,10.92,,
58.48,10.02,,
58.66,9.59,,
58.70,11.14,,
59.38,11.24,,
